sample,x,y,class,data_type,data_uri
1,6.70E+00,5.76E+00,0,file,globus://go#ep1/share/godata/file1 .txt
2,4.18E+00,8.46E+00,1,file,globus://go#ep1/share/godata/file2 .txt
3,3.96E+00,7.78E+00,1,file,globus://go#ep1/share/godata/file3 .txt
4,6.57E+00,5.64E+00,0,file,globus://go#ep1/share/godata/file4 .txt
5,4.01E+00,8.58E+00,1,file,globus://go#ep1/share/godata/file5 .txt
6,6.33E+00,6.43E+00,0,file,globus://go#ep1/share/godata/file6 .txt
7,4.16E+00,8.45E+00,1,file,globus://go#ep1/share/godata/file7 .txt
8,5.56E+00,6.76E+00,0,file,globus://go#ep1/share/godata/file8 .txt
9,6.36E+00,6.39E+00,0,file,globus://go#ep1/share/godata/file9 .txt
10,4.83E+00,8.55E+00,1,file,globus://go#ep1/share/godata/file10 .txt
11,7.13E+00,7.08E+00,0,file,globus://go#ep1/share/godata/file11 .txt
12,6.52E+00,5.19E+00,0,file,globus://go#ep1/share/godata/file12 .txt
13,4.50E+00,8.49E+00,1,file,globus://go#ep1/share/godata/file13 .txt
14,6.51E+00,5.30E+00,0,file,globus://go#ep1/share/godata/file14 .txt
15,5.40E+00,5.90E+00,0,file,globus://go#ep1/share/godata/file15 .txt
16,6.52E+00,6.31E+00,0,file,globus://go#ep1/share/godata/file16 .txt
17,5.42E+00,6.83E+00,0,file,globus://go#ep1/share/godata/file17 .txt
18,7.05E+00,6.09E+00,0,file,globus://go#ep1/share/godata/file18 .txt
19,7.82E+00,6.09E+00,0,file,globus://go#ep1/share/godata/file19 .txt
20,5.95E+00,5.95E+00,0,file,globus://go#ep1/share/godata/file20 .txt
21,4.41E+00,8.27E+00,1,file,globus://go#ep1/share/godata/file21 .txt
22,3.62E+00,8.77E+00,1,file,globus://go#ep1/share/godata/file22 .txt
23,3.64E+00,9.09E+00,1,file,globus://go#ep1/share/godata/file23 .txt
24,3.29E+00,8.14E+00,1,file,globus://go#ep1/share/godata/file24 .txt
25,3.56E+00,8.88E+00,1,file,globus://go#ep1/share/godata/file25 .txt
26,6.24E+00,7.20E+00,0,file,globus://go#ep1/share/godata/file26 .txt
27,3.89E+00,8.95E+00,1,file,globus://go#ep1/share/godata/file27 .txt
28,7.68E+00,5.68E+00,0,file,globus://go#ep1/share/godata/file28 .txt
29,6.78E+00,6.31E+00,0,file,globus://go#ep1/share/godata/file29 .txt
30,4.40E+00,8.53E+00,1,file,globus://go#ep1/share/godata/file30 .txt
31,8.12E+00,5.96E+00,0,file,globus://go#ep1/share/godata/file31 .txt
32,6.32E+00,7.57E+00,0,file,globus://go#ep1/share/godata/file32 .txt
33,3.84E+00,9.05E+00,1,file,globus://go#ep1/share/godata/file33 .txt
34,4.36E+00,7.95E+00,1,file,globus://go#ep1/share/godata/file34 .txt
